generation,rank,simulation,PDI,bar
0,2,2.296774321000001,1.122799861999999,0.2530610800000001
1,2,2.210714525,1.0768688760000007,0.1473108419999995
2,2,2.255557544,1.0809073999999974,0.2194473600000002
3,2,2.222325124000001,0.9917989640000008,0.3217889349999971
4,2,2.2366051660000004,0.9193063930000028,0.2604526840000005
5,2,2.2569630620000005,0.8875173970000034,0.8066711120000001
6,2,2.2551903389999985,0.9603881680000016,0.203919005000003
7,2,2.259799078999997,1.093006068000001,0.2418139240000059
8,2,2.261815675000001,0.9807284609999982,0.156230678
9,2,2.262146450000003,1.0932405979999942,2.368799999885596e-05
0,3,2.2956692389999995,1.2067079330000006,0.1692564220000001
1,3,2.2105819359999987,1.1077032449999995,0.1166342639999999
2,3,2.2554298049999986,1.28167775,0.0188063530000022
3,3,2.222193247,1.3136627670000005,5.734299999815562e-05
4,3,2.2364755350000003,0.9848849410000008,0.1950041630000001
5,3,2.256835364999997,1.5642365569999974,0.1300790469999988
6,3,2.255060105000002,1.096447431999998,0.0679900559999993
7,3,2.259674397000005,1.3349117910000032,3.813899999727255e-05
8,3,2.261666337000001,0.8695411820000061,0.2675641460000051
9,3,2.262016915000004,0.9117807079999948,0.1816120550000022
0,1,2.29575789,1.3757712830000006,0.0001053479999999
1,1,2.2106620180000007,1.2241999270000008,6.395099999956244e-05
2,1,2.2555397049999986,1.3003348730000006,3.8876000001408784e-05
3,1,2.2223037219999995,1.284214813000002,0.0294015519999994
4,1,2.2365683879999985,1.1797584279999995,4.0609999999219326e-05
5,1,2.2569324689999988,1.6941786569999984,3.841599999887535e-05
6,1,2.2551546709999997,1.0844829419999975,0.0798679649999982
7,1,2.2597754949999995,1.3344330319999995,0.0004177989999973
8,1,2.261712000000003,1.1370174059999982,3.8887999998848954e-05
9,1,2.262095949000006,1.0204157920000014,0.0728947939999997
0,0,2.2948475029999997,0.8820037329999995,0.4937987540000002
1,0,2.2107464510000003,0.855716232999999,0.3684481220000002
2,0,2.2556410299999996,1.0183355479999996,0.2819404619999979
3,0,2.2224088549999976,1.091298021,0.2222127729999989
4,0,2.2367175029999977,1.0964795100000018,0.0831645700000009
5,0,2.2570398219999994,1.0981315229999993,0.5959825390000013
6,0,2.2552579880000003,1.1642314989999996,1.646500000163087e-05
7,0,2.2598783030000007,0.9991206560000024,0.3356228180000045
8,0,2.2618019840000017,1.1086018410000025,0.0283696820000045
9,0,2.262188297999998,0.8381856029999994,0.2550342830000005
