generation,rank,Scatter,Publish,Queues
0,34,0.7865919470787048,0.8932669423520565,0.1064140498638153
1,34,0.930599226616323,1.0359565671533346,0.1052602836862206
2,34,0.776415434665978,0.9014870505779982,0.1249007368460297
3,34,0.7593673383817077,0.8779041552916169,0.1183745097368955
4,34,0.8865597629919648,1.0084681855514646,0.1218472747132182
5,34,0.8965814923867583,1.031798952259123,0.1350694615393877
6,34,0.6845472687855363,0.8069608770310879,0.1223053280264139
7,34,0.989057163707912,1.106128643266857,0.1169964084401726
8,34,0.7458598138764501,0.8613327508792281,0.115327363833785
9,34,0.895278912037611,1.0128432540223002,0.1174901127815246
0,84,1.844685445073992,1.9582018521614373,0.113246064633131
1,84,1.946706234011799,2.0612485050223768,0.1143729300238192
2,84,1.947031972929835,2.063557455316186,0.1163471438921988
3,84,1.7422474063932896,1.8527970546856525,0.1103902938775718
4,84,1.801683738362044,1.9234614190645516,0.1216719169169664
5,84,1.9493194869719448,2.084636294748634,0.1351718730293214
6,84,1.792343743145466,1.908012041822076,0.1155813625082373
7,84,1.8564001210033896,1.952363648917526,0.0959015153348445
8,84,1.7868504947982728,1.902849658858031,0.115934575907886
9,84,1.7801647069863975,1.8388682771474123,0.0586317926645278
0,79,1.6388341449201107,1.7594450563192368,0.1203337283805012
1,79,1.560973696410656,1.6788009237498045,0.1176634533330798
2,79,1.4714303584769368,1.5875716069713235,0.1159592922776937
3,79,1.463381941430271,1.56989483255893,0.1064201518893241
4,79,1.5652418686077,1.6879677958786488,0.1225550640374422
5,79,1.6009383536875248,1.755461654625833,0.1544560929760337
6,79,1.54655665718019,1.6517213955521584,0.1050194362178444
7,79,1.6037544179707766,1.707539820112288,0.103690474294126
8,79,1.492148246616125,1.6064687548205256,0.1142533514648675
9,79,1.5755422348156571,1.636705493554473,0.0610171156004071
0,50,0.9823540253564716,1.0952115133404732,0.1125784763135016
1,50,1.139793953858316,1.2530975700356066,0.113140266854316
2,50,0.9795225919224322,1.0919810710474849,0.112301473505795
3,50,0.96845513721928,1.0876669408753514,0.1191298267804086
4,50,1.003527249675244,1.1206936207599938,0.1170009961351752
5,50,0.7709110691212118,0.895621629897505,0.1246472070924937
6,50,0.9662784547545016,1.0829345909878612,0.11652009235695
7,50,0.8005376686342061,0.9076796011067928,0.1070572091266512
8,50,0.9382888469845057,1.0512556047178805,0.1129094287753105
9,50,0.8810899858362973,0.9873374300077558,0.1061877682805061
0,78,1.3239320879802108,1.4336998229846358,0.1095033288002014
1,78,1.4828842543065548,1.597851311787963,0.1147995740175247
2,78,1.2669994262978437,1.3790489239618182,0.1119010923430323
3,78,1.1955289905890822,1.2980031445622444,0.1023737145587802
